Nome da campanha,Dia,Status de veiculação,Nível de veiculação,Nome da conta,Identificação da conta,Valor usado (BRL),Impressões,Alcance,Cliques no link,CPC (custo por clique no link),Tipo de resultado,Resultados,Custo por resultado,Início dos relatórios,Encerramento dos relatórios
[JUL]_[N]_Vídeo_Transit [permanente],2026-07-31,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,7.34,322,305,2,3.67,,,,2026-07-31,2026-07-31
[JUL]_[N]_Vt_Condição,2026-07-31,recently_completed,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,27.34,593,480,14,195.285.714,,,,2026-07-31,2026-07-31
[JUL]_[N]_Card_Modeloss,2026-07-31,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,49.67,3181,2318,32,15.521.875,Conversas por mensagem iniciadas,7,709.571.429,2026-07-31,2026-07-31
[JUL]_[SN]_Carrossel_Oferta,2026-07-31,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,48.88,3398,2375,58,84.275.862,Conversas por mensagem iniciadas,13,3.76,2026-07-31,2026-07-31
[JUL]_[N]_Vídeo_Transit [permanente],2026-07-30,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,8.88,466,435,1,8.88,,,,2026-07-30,2026-07-30
[JUL]_[N]_Vt_Condição,2026-07-30,recently_completed,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,35.2,572,465,18,195.555.556,Conversas por mensagem iniciadas,4,8.8,2026-07-30,2026-07-30
[JUL]_[N]_Card_Modeloss,2026-07-30,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,48.82,5065,3677,35,139.485.714,Conversas por mensagem iniciadas,4,12.205,2026-07-30,2026-07-30
[JUL]_[SN]_Carrossel_Oferta,2026-07-30,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,51.89,3756,2467,76,68.276.316,Conversas por mensagem iniciadas,9,576.555.556,2026-07-30,2026-07-30
[JUL]_[N]_Vídeo_Transit [permanente],2026-07-29,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,11.03,580,542,8,137.875,Conversas por mensagem iniciadas,1,11.03,2026-07-29,2026-07-29
[JUL]_[N]_Vt_Condição,2026-07-29,recently_completed,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,46.59,820,653,23,202.565.217,Conversas por mensagem iniciadas,3,15.53,2026-07-29,2026-07-29
[JUL]_[N]_Card_Modeloss,2026-07-29,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,61.69,8238,5865,75,82.253.333,Conversas por mensagem iniciadas,9,685.444.444,2026-07-29,2026-07-29
[JUL]_[SN]_Carrossel_Oferta,2026-07-29,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,64.68,4489,3053,94,68.808.511,Conversas por mensagem iniciadas,4,16.17,2026-07-29,2026-07-29
[JUL]_[N]_Card_Modeloss,2026-07-28,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,72.63,9471,6772,66,110.045.455,Conversas por mensagem iniciadas,7,1.037.571.429,2026-07-28,2026-07-28
[JUL]_[SN]_Carrossel_Oferta,2026-07-28,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,72.61,5083,3415,93,78.075.269,Conversas por mensagem iniciadas,12,605.083.333,2026-07-28,2026-07-28
[JUL]_[N]_Vt_Condição,2026-07-28,recently_completed,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,58.08,1189,886,33,1.76,Conversas por mensagem iniciadas,7,829.714.286,2026-07-28,2026-07-28
[JUL]_[N]_Vídeo_Transit [permanente],2026-07-28,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,13.34,528,492,3,444.666.667,Conversas por mensagem iniciadas,1,13.34,2026-07-28,2026-07-28
[JUL]_[N]_Vídeo_Transit [permanente],2026-07-27,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,11.84,652,592,8,1.48,Conversas por mensagem iniciadas,1,11.84,2026-07-27,2026-07-27
[JUL]_[N]_Vt_Condição,2026-07-27,recently_completed,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,61.48,1164,912,24,256.166.667,Conversas por mensagem iniciadas,3,2.049.333.333,2026-07-27,2026-07-27
[JUL]_[N]_Card_Modeloss,2026-07-27,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,79.37,11709,8332,100,7.937,Conversas por mensagem iniciadas,5,15.874,2026-07-27,2026-07-27
[JUL]_[SN]_Carrossel_Oferta,2026-07-27,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,71.32,5124,3326,117,60.957.265,Conversas por mensagem iniciadas,11,648.363.636,2026-07-27,2026-07-27
[JUL]_[N]_Vídeo_Transit [permanente],2026-07-26,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,13.45,505,461,4,3.3625,Conversas por mensagem iniciadas,1,13.45,2026-07-26,2026-07-26
[JUL]_[N]_Vt_Condição,2026-07-26,recently_completed,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,68.97,1695,1328,30,2.299,Conversas por mensagem iniciadas,6,11.495,2026-07-26,2026-07-26
[JUL]_[N]_Card_Modeloss,2026-07-26,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,122.5,16567,10914,145,84.482.759,Conversas por mensagem iniciadas,10,12.25,2026-07-26,2026-07-26
[JUL]_[SN]_Carrossel_Oferta,2026-07-26,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,74.84,4357,2924,96,77.958.333,Conversas por mensagem iniciadas,12,623.666.667,2026-07-26,2026-07-26
[JUL]_[N]_Vídeo_Transit [permanente],2026-07-25,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,04.06,260,245,,,,,,2026-07-25,2026-07-25
[JUL]_[N]_Vt_Condição,2026-07-25,recently_completed,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,45.1,1160,914,16,281.875,Conversas por mensagem iniciadas,1,45.1,2026-07-25,2026-07-25
[JUL]_[N]_Card_Modeloss,2026-07-25,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,159.54,16744,10876,151,105.655.629,Conversas por mensagem iniciadas,13,1.227.230.769,2026-07-25,2026-07-25
[JUL]_[SN]_Carrossel_Oferta,2026-07-25,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,43.89,2920,2154,61,7.195.082,Conversas por mensagem iniciadas,7,6.27,2026-07-25,2026-07-25
[JUL]_[SN]_Carrossel_Oferta,2026-07-24,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,51.54,3803,2568,91,56.637.363,Conversas por mensagem iniciadas,9,572.666.667,2026-07-24,2026-07-24
[JUL]_[N]_Card_Modeloss,2026-07-24,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,135.84,15163,10435,146,93.041.096,Conversas por mensagem iniciadas,10,13.584,2026-07-24,2026-07-24
[JUL]_[N]_Vt_Condição,2026-07-24,recently_completed,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,35.76,665,551,19,188.210.526,Conversas por mensagem iniciadas,2,17.88,2026-07-24,2026-07-24
[JUL]_[N]_Vídeo_Transit [permanente],2026-07-24,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,8.44,457,438,5,1.688,Conversas por mensagem iniciadas,2,4.22,2026-07-24,2026-07-24
[JUL]_[N]_Vídeo_Transit [permanente],2026-07-23,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,8.98,404,384,4,2.245,Conversas por mensagem iniciadas,3,299.333.333,2026-07-23,2026-07-23
[JUL]_[N]_Vt_Condição,2026-07-23,recently_completed,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,26.41,349,254,8,330.125,Conversas por mensagem iniciadas,1,26.41,2026-07-23,2026-07-23
[JUL]_[SN]_Card_Condição,2026-07-23,completed,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,0.11,4,4,,,,,,2026-07-23,2026-07-23
[JUL]_[N]_Card_Modeloss,2026-07-23,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,0.15,19,17,,,,,,2026-07-23,2026-07-23
[JUL]_[SN]_Carrossel_Oferta,2026-07-23,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,56.22,4400,2920,92,61.108.696,Conversas por mensagem iniciadas,14,401.571.429,2026-07-23,2026-07-23
[JUL]_[N]_Vídeo_Transit [permanente],2026-07-22,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,11.34,647,601,6,1.89,Conversas por mensagem iniciadas,2,5.67,2026-07-22,2026-07-22
[JUL]_[N]_Vt_Condição,2026-07-22,recently_completed,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,37.69,386,322,26,144.961.538,Conversas por mensagem iniciadas,1,37.69,2026-07-22,2026-07-22
[JUL]_[SN]_Card_Condição,2026-07-22,completed,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,18.29,534,435,8,228.625,Conversas por mensagem iniciadas,1,18.29,2026-07-22,2026-07-22
[JUL]_[N]_Card_Modeloss,2026-07-22,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,71.9,7760,5311,71,101.267.606,Conversas por mensagem iniciadas,6,1.198.333.333,2026-07-22,2026-07-22
[JUL]_[SN]_Carrossel_Oferta,2026-07-22,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,63.74,4866,3179,103,61.883.495,Conversas por mensagem iniciadas,15,424.933.333,2026-07-22,2026-07-22
[JUL]_[SN]_Card_Condição,2026-07-21,completed,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,32.98,973,824,6,549.666.667,,,,2026-07-21,2026-07-21
[JUL]_[SN]_Carrossel_Oferta,2026-07-21,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,66.41,4335,2859,103,64.475.728,Conversas por mensagem iniciadas,17,390.647.059,2026-07-21,2026-07-21
[JUL]_[N]_Card_Modeloss,2026-07-21,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,111.04,10612,7217,95,116.884.211,Conversas por mensagem iniciadas,9,1.233.777.778,2026-07-21,2026-07-21
[JUL]_[N]_Vt_Condição,2026-07-21,recently_completed,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,39.07,463,389,17,229.823.529,Conversas por mensagem iniciadas,3,1.302.333.333,2026-07-21,2026-07-21
[JUL]_[N]_Vídeo_Transit [permanente],2026-07-21,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,12.31,705,653,8,153.875,Conversas por mensagem iniciadas,3,410.333.333,2026-07-21,2026-07-21
[JUL]_[N]_Vídeo_Transit [permanente],2026-07-20,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,13.17,1192,1131,9,146.333.333,,,,2026-07-20,2026-07-20
[JUL]_[N]_Vt_Condição,2026-07-20,recently_completed,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,39.77,484,381,21,189.380.952,Conversas por mensagem iniciadas,3,1.325.666.667,2026-07-20,2026-07-20
[JUL]_[SN]_Card_Condição,2026-07-20,completed,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,33.17,994,814,10,3.317,Conversas por mensagem iniciadas,2,16.585,2026-07-20,2026-07-20
[JUL]_[N]_Card_Modeloss,2026-07-20,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,107.51,7523,5270,56,191.982.143,Conversas por mensagem iniciadas,8,1.343.875,2026-07-20,2026-07-20
[JUL]_[SN]_Carrossel_Oferta,2026-07-20,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,66.33,4504,3201,93,71.322.581,Conversas por mensagem iniciadas,9,7.37,2026-07-20,2026-07-20
[JUL]_[N]_Card_Modeloss,2026-07-19,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,113.38,9497,6946,74,153.216.216,Conversas por mensagem iniciadas,3,3.779.333.333,2026-07-19,2026-07-19
[JUL]_[SN]_Carrossel_Oferta,2026-07-19,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,71.83,4660,3215,113,63.566.372,Conversas por mensagem iniciadas,11,6.53,2026-07-19,2026-07-19
[JUL]_[N]_Vt_Condição,2026-07-19,recently_completed,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,35.15,709,561,22,159.772.727,Conversas por mensagem iniciadas,6,585.833.333,2026-07-19,2026-07-19
[JUL]_[SN]_Card_Condição,2026-07-19,completed,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,36.55,1291,1102,22,166.136.364,Conversas por mensagem iniciadas,4,9.1375,2026-07-19,2026-07-19
[JUL]_[N]_Vídeo_Transit [permanente],2026-07-19,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,11.67,851,815,5,2.334,Conversas por mensagem iniciadas,3,3.89,2026-07-19,2026-07-19
[JUL]_[N]_Vídeo_Transit [permanente],2026-07-18,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,7.69,652,611,4,1.9225,Conversas por mensagem iniciadas,1,7.69,2026-07-18,2026-07-18
[JUL]_[N]_Vt_Condição,2026-07-18,recently_completed,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,16.41,326,291,3,5.47,Conversas por mensagem iniciadas,1,16.41,2026-07-18,2026-07-18
[JUL]_[SN]_Card_Condição,2026-07-18,completed,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,15.92,1177,1077,12,132.666.667,Conversas por mensagem iniciadas,1,15.92,2026-07-18,2026-07-18
[JUL]_[N]_Card_Modeloss,2026-07-18,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,71.28,5169,3565,42,169.714.286,Conversas por mensagem iniciadas,7,1.018.285.714,2026-07-18,2026-07-18
[JUL]_[SN]_Carrossel_Oferta,2026-07-18,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,39.54,2776,2020,57,69.368.421,Conversas por mensagem iniciadas,7,564.857.143,2026-07-18,2026-07-18
[JUL]_[N]_Vídeo_Transit [permanente],2026-07-17,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,10.61,498,461,,,,,,2026-07-17,2026-07-17
[JUL]_[N]_Vt_Condição,2026-07-17,recently_completed,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,26.01,450,384,15,1.734,Conversas por mensagem iniciadas,2,13.005,2026-07-17,2026-07-17
[JUL]_[N]_Card_Modeloss,2026-07-17,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,89.81,6655,4678,59,152.220.339,Conversas por mensagem iniciadas,5,17.962,2026-07-17,2026-07-17
[JUL]_[SN]_Carrossel_Oferta,2026-07-17,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,55.81,3435,2382,94,5.937.234,Conversas por mensagem iniciadas,16,3.488.125,2026-07-17,2026-07-17
[JUL]_[SN]_Card_Condição,2026-07-17,completed,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,23.88,1326,1183,11,217.090.909,Conversas por mensagem iniciadas,3,7.96,2026-07-17,2026-07-17
[JUL]_[N]_Vídeo_Transit [permanente],2026-07-16,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,10.04,509,459,1,10.04,Conversas por mensagem iniciadas,1,10.04,2026-07-16,2026-07-16
[JUL]_[N]_Vt_Condição,2026-07-16,recently_completed,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,33.28,594,480,12,277.333.333,Conversas por mensagem iniciadas,3,1.109.333.333,2026-07-16,2026-07-16
[JUL]_[SN]_Card_Condição,2026-07-16,completed,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,28.7,1604,1462,13,220.769.231,Conversas por mensagem iniciadas,2,14.35,2026-07-16,2026-07-16
[JUL]_[N]_Card_Modeloss,2026-07-16,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,91.71,7250,4925,71,129.169.014,Conversas por mensagem iniciadas,11,833.727.273,2026-07-16,2026-07-16
[JUL]_[SN]_Carrossel_Oferta,2026-07-16,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,48.09,3335,2357,70,687,Conversas por mensagem iniciadas,12,4.1975,2026-07-16,2026-07-16
[JUL]_[SN]_Carrossel_Oferta,2026-07-15,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,65.2,4738,3208,98,66.530.612,Conversas por mensagem iniciadas,7,931.428.571,2026-07-15,2026-07-15
[JUL]_[N]_Vídeo_Transit [permanente],2026-07-15,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,11.51,671,596,1,11.51,Conversas por mensagem iniciadas,1,11.51,2026-07-15,2026-07-15
[JUL]_[N]_Vt_Condição,2026-07-15,recently_completed,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,35.6,552,451,14,254.285.714,Conversas por mensagem iniciadas,1,35.6,2026-07-15,2026-07-15
[JUL]_[SN]_Card_Condição,2026-07-15,completed,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,37.56,1216,965,21,178.857.143,Conversas por mensagem iniciadas,3,12.52,2026-07-15,2026-07-15
[JUL]_[N]_Card_Modeloss,2026-07-15,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,102.74,8689,6127,84,122.309.524,Conversas por mensagem iniciadas,8,12.8425,2026-07-15,2026-07-15
[JUL]_[N]_Card_Modeloss,2026-07-14,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,115.37,8380,5420,95,121.442.105,Conversas por mensagem iniciadas,5,23.074,2026-07-14,2026-07-14
[JUL]_[SN]_Carrossel_Oferta,2026-07-14,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,72.38,5033,3373,130,55.676.923,Conversas por mensagem iniciadas,19,380.947.368,2026-07-14,2026-07-14
[JUL]_[N]_Vídeo_Transit [permanente],2026-07-14,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,3.32,273,261,2,1.66,,,,2026-07-14,2026-07-14
[JUL]_[SN]_Card_Condição,2026-07-14,completed,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,35.36,1403,1102,11,321.454.545,Conversas por mensagem iniciadas,1,35.36,2026-07-14,2026-07-14
[JUL]_[N]_Vt_Condição,2026-07-14,recently_completed,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,47.05,962,826,16,2.940.625,Conversas por mensagem iniciadas,1,47.05,2026-07-14,2026-07-14
[JUL]_[N]_Vt_Condição,2026-07-13,recently_completed,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,0,1,1,,,,,,2026-07-13,2026-07-13
[JUL]_[SN]_Card_Condição,2026-07-13,completed,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,30.93,1078,918,8,386.625,Conversas por mensagem iniciadas,2,15.465,2026-07-13,2026-07-13
[JUL]_[N]_Card_Modeloss,2026-07-13,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,113.72,7062,4382,75,151.626.667,Conversas por mensagem iniciadas,5,22.744,2026-07-13,2026-07-13
[JUL]_[SN]_Carrossel_Oferta,2026-07-13,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,68.37,4472,3112,102,67.029.412,Conversas por mensagem iniciadas,9,759.666.667,2026-07-13,2026-07-13
[JUL]_[SN]_Card_Condição,2026-07-12,completed,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,37.62,1656,1353,16,235.125,Conversas por mensagem iniciadas,3,12.54,2026-07-12,2026-07-12
[JUL]_[N]_Card_Modeloss,2026-07-12,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,115.36,8418,5464,92,125.391.304,Conversas por mensagem iniciadas,8,14.42,2026-07-12,2026-07-12
[JUL]_[SN]_Carrossel_Oferta,2026-07-12,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,70.59,5400,3504,81,87.148.148,Conversas por mensagem iniciadas,10,7.059,2026-07-12,2026-07-12
[JUL]_[N]_Card_Modeloss,2026-07-11,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,83.29,5954,4101,57,146.122.807,Conversas por mensagem iniciadas,4,208.225,2026-07-11,2026-07-11
[JUL]_[SN]_Carrossel_Oferta,2026-07-11,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,42.1,3221,2332,51,8.254.902,Conversas por mensagem iniciadas,8,5.2625,2026-07-11,2026-07-11
[JUL]_[SN]_Card_Condição,2026-07-11,completed,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,15.68,723,599,14,1.12,,,,2026-07-11,2026-07-11
[JUL]_[SN]_Carrossel_Oferta,2026-07-10,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,57.18,4241,2900,95,60.189.474,Conversas por mensagem iniciadas,7,816.857.143,2026-07-10,2026-07-10
[JUL]_[N]_Card_Modeloss,2026-07-10,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,77.38,4955,3313,59,131.152.542,Conversas por mensagem iniciadas,8,9.6725,2026-07-10,2026-07-10
[JUL]_[SN]_Card_Condição,2026-07-10,completed,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,22.34,960,792,11,203.090.909,Conversas por mensagem iniciadas,1,22.34,2026-07-10,2026-07-10
[JUL]_[SN]_Card_Condição,2026-07-09,completed,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,27.06,1106,843,7,386.571.429,Conversas por mensagem iniciadas,1,27.06,2026-07-09,2026-07-09
[JUL]_[N]_Card_Modeloss,2026-07-09,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,26.65,1670,1216,12,222.083.333,Conversas por mensagem iniciadas,2,13.325,2026-07-09,2026-07-09
[JUL]_[SN]_Carrossel_Oferta,2026-07-09,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,62.22,4251,2815,83,74.963.855,Conversas por mensagem iniciadas,12,5.185,2026-07-09,2026-07-09
[JUL]_[SN]_Card_Condição,2026-07-08,completed,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,32.21,1603,1191,36,89.472.222,Conversas por mensagem iniciadas,6,536.833.333,2026-07-08,2026-07-08
[JUL]_[N]_Card_Modeloss,2026-07-08,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,32.41,1960,1382,21,154.333.333,Conversas por mensagem iniciadas,3,1.080.333.333,2026-07-08,2026-07-08
[JUL]_[SN]_Carrossel_Oferta,2026-07-08,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,73.57,4843,3162,98,75.071.429,Conversas por mensagem iniciadas,11,668.818.182,2026-07-08,2026-07-08
[JUL]_[SN]_Card_Condição,2026-07-07,completed,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,37.93,1557,1169,15,252.866.667,Conversas por mensagem iniciadas,3,1.264.333.333,2026-07-07,2026-07-07
[JUL]_[N]_Card_Modeloss,2026-07-07,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,30.77,2157,1666,24,128.208.333,Conversas por mensagem iniciadas,1,30.77,2026-07-07,2026-07-07
[JUL]_[SN]_Carrossel_Oferta,2026-07-07,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,67.54,4108,2719,92,73.413.043,Conversas por mensagem iniciadas,11,6.14,2026-07-07,2026-07-07
[JUN]_[N]_Vídeo_Modelo,2026-07-06,inactive,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,12.1,138,110,1,12.1,Conversas por mensagem iniciadas,1,12.1,2026-07-06,2026-07-06
[JUL]_[SN]_Card_Condição,2026-07-06,completed,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,37.73,1811,1343,29,130.103.448,Conversas por mensagem iniciadas,4,9.4325,2026-07-06,2026-07-06
[JUL]_[N]_Card_Modeloss,2026-07-06,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,41.73,4276,3127,21,198.714.286,Conversas por mensagem iniciadas,1,41.73,2026-07-06,2026-07-06
[JUL]_[SN]_Carrossel_Oferta,2026-07-06,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,28.6,1714,1202,46,62.173.913,Conversas por mensagem iniciadas,4,7.15,2026-07-06,2026-07-06
[JUN]_[N]_Vídeo_Modelo,2026-07-05,inactive,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,42.81,843,579,23,186.130.435,Conversas por mensagem iniciadas,1,42.81,2026-07-05,2026-07-05
[JUL]_[SN]_Carrossel_Oferta,2026-07-05,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,37.02,2261,1608,42,88.142.857,Conversas por mensagem iniciadas,7,528.857.143,2026-07-05,2026-07-05
[JUL]_[SN]_Card_Condição,2026-07-05,completed,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,37.04,1860,1454,11,336.727.273,Conversas por mensagem iniciadas,3,1.234.666.667,2026-07-05,2026-07-05
[JUL]_[N]_Card_Modeloss,2026-07-05,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,39.64,3944,3008,31,127.870.968,Conversas por mensagem iniciadas,4,9.91,2026-07-05,2026-07-05
[JUL]_[SN]_Card_Condição,2026-07-04,completed,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,28.54,1343,1058,9,317.111.111,Conversas por mensagem iniciadas,4,7.135,2026-07-04,2026-07-04
[JUL]_[N]_Card_Modeloss,2026-07-04,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,29.09,3058,2397,23,126.478.261,,,,2026-07-04,2026-07-04
[JUN]_[N]_Vídeo_Modelo,2026-07-04,inactive,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,11.35,362,275,5,2.27,,,,2026-07-04,2026-07-04
[JUL]_[SN]_Carrossel_Oferta,2026-07-04,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,16.47,1123,870,21,78.428.571,Conversas por mensagem iniciadas,6,2.745,2026-07-04,2026-07-04
[JUL]_[SN]_Carrossel_Oferta,2026-07-03,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,23.52,1631,1136,45,52.266.667,Conversas por mensagem iniciadas,9,261.333.333,2026-07-03,2026-07-03
[JUL]_[SN]_Card_Condição,2026-07-03,completed,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,9.13,512,454,4,2.2825,Conversas por mensagem iniciadas,2,4.565,2026-07-03,2026-07-03
[JUL]_[N]_Card_Modeloss,2026-07-03,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,8.58,896,764,4,2.145,,,,2026-07-03,2026-07-03
[JUN]_[N]_Vídeo_Festival-Prorrogado,2026-07-03,inactive,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,0,0,0,,,Conversas por mensagem iniciadas,1,0,2026-07-03,2026-07-03
[JUN]_[N]_Vídeo_Modelo,2026-07-03,inactive,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,20.57,435,322,12,171.416.667,Conversas por mensagem iniciadas,1,20.57,2026-07-03,2026-07-03
[JUL]_[SN]_Carrossel_Oferta,2026-07-02,active,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,28.91,1998,1326,58,49.844.828,Conversas por mensagem iniciadas,6,481.833.333,2026-07-02,2026-07-02
[JUN]_[N]_Vídeo_Festival-Prorrogado,2026-07-02,inactive,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,5.78,337,292,1,5.78,Conversas por mensagem iniciadas,1,5.78,2026-07-02,2026-07-02
[JUN]_[N]_Vídeo_Modelo,2026-07-02,inactive,campaign,AUTOPLUS [FORD] BLUMENAU,496393841435219,27.67,524,385,7,395.285.714,Conversas por mensagem iniciadas,3,922.333.333,2026-07-02,2026-07-02
