Nome da campanha,Dia,Status de veiculação,Nível de veiculação,Nome da conta,Identificação da conta,Valor gasto (BRL),Impressões,Alcance,Cliques no link,CPC (custo por clique no link),Tipo de resultado,Resultados,Custo por resultado,Início dos relatórios,Encerramento dos relatórios,Resultados (iniciais)
[AGO]_[N]_Vt_Oferta - M/T/R,2026-08-21,inactive,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,31.12,881,724,23,1.35304348,Conversas por mensagem iniciadas,4,7.78,2026-08-21,2026-08-21,
[AGO]_[SN]_Carrossel_Oferta - Estoque [TP],2026-08-21,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,7.54,641,539,9,0.83777778,,,,2026-08-21,2026-08-21,
[AGO]_[SN]_Card_Condição - Lote,2026-08-21,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,19.17,1149,887,11,1.74272727,,,,2026-08-21,2026-08-21,
[AGO]_[N]_Card_Oferta - R/T/M,2026-08-21,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,44.66,4500,3071,36,1.24055556,Conversas por mensagem iniciadas,6,7.44333333,2026-08-21,2026-08-21,
[JUL]_[SN]_Carrossel_Oferta - Estoque,2026-08-21,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,31.6,2393,1716,33,0.95757576,Conversas por mensagem iniciadas,1,31.6,2026-08-21,2026-08-21,
[AGO]_[N]_Card_Oferta - R/T/M,2026-08-20,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,43.68,3930,2819,31,1.40903226,Conversas por mensagem iniciadas,6,7.28,2026-08-20,2026-08-20,
[JUL]_[SN]_Carrossel_Oferta - Estoque,2026-08-20,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,45.2,3244,2160,41,1.10243902,Conversas por mensagem iniciadas,4,11.3,2026-08-20,2026-08-20,
[AGO]_[N]_Vt_Oferta - M/T/R,2026-08-20,inactive,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,21.52,734,611,14,1.53714286,Conversas por mensagem iniciadas,1,21.52,2026-08-20,2026-08-20,
[AGO]_[SN]_Card_Condição - Lote,2026-08-20,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,18.4,914,727,4,4.6,Conversas por mensagem iniciadas,1,18.4,2026-08-20,2026-08-20,
[AGO]_[SN]_Carrossel_Oferta - Estoque [TP],2026-08-20,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,10.49,824,687,8,1.31125,Conversas por mensagem iniciadas,1,10.49,2026-08-20,2026-08-20,
[AGO]_[N]_Vt_Oferta - M/T/R,2026-08-19,inactive,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,25.26,972,785,12,2.105,Conversas por mensagem iniciadas,3,8.42,2026-08-19,2026-08-19,
[AGO]_[SN]_Carrossel_Oferta - Estoque [TP],2026-08-19,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,11.64,1065,886,15,0.776,Conversas por mensagem iniciadas,3,3.88,2026-08-19,2026-08-19,
[AGO]_[SN]_Card_Condição - Lote,2026-08-19,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,22.25,1131,931,9,2.47222222,Conversas por mensagem iniciadas,1,22.25,2026-08-19,2026-08-19,
[AGO]_[N]_Card_Oferta - R/T/M,2026-08-19,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,44.28,5310,3852,47,0.94212766,Conversas por mensagem iniciadas,1,44.28,2026-08-19,2026-08-19,
[JUL]_[SN]_Carrossel_Oferta - Estoque,2026-08-19,active,campaign,AUTOPLUS [FORD] CAÇADOR,596131121400908,43.92,4026,2750,64,0.68625,Conversas por mensagem iniciadas,5,8.784,2026-08-19,2026-08-19,
